regime,ema_state,ema_slope,swing,rsi_state,stoch_state,atr_state,vwap_state,direction,params,n_IS,wins,wr_IS,exp_R_IS,n_OOS,wr_OOS,exp_R_OOS
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA21_RSI21_SK5SS3SD3_ATR14,78,61,0.7821,1.3462,35.0,0.5714,0.7143
bull,1,1,-1,weak,strong,neutral,-1,SHORT,EMA200_RSI7_SK14SS3SD3_ATR7,64,50,0.7812,1.3438,15.0,0.6667,1.0
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI14_SK5SS3SD3_ATR21,32,25,0.7812,1.3438,4.0,1.0,2.0
bull,-1,-1,-1,weak,weak,neutral,-1,SHORT,EMA50_RSI7_SK5SS3SD3_ATR14,41,32,0.7805,1.3415,22.0,0.5909,0.7727
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI14_SK21SS5SD5_ATR7,59,46,0.7797,1.339,7.0,0.7143,1.1429
bull,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA21_RSI7_SK14SS3SD3_ATR14,77,60,0.7792,1.3377,20.0,0.7,1.1
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI7_SK5SS3SD3_ATR21,54,42,0.7778,1.3333,9.0,0.6667,1.0
bull,1,1,0,oversold,weak,expansion,-1,SHORT,EMA200_RSI7_SK21SS5SD5_ATR7,27,21,0.7778,1.3333,2.0,0.5,0.5
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI7_SK5SS3SD3_ATR21,54,42,0.7778,1.3333,9.0,0.6667,1.0
bull,1,1,1,strong,weak,neutral,1,LONG,EMA50_RSI21_SK21SS5SD5_ATR14,76,59,0.7763,1.3289,12.0,0.6667,1.0
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA200_RSI7_SK5SS3SD3_ATR14,49,38,0.7755,1.3265,10.0,0.7,1.1
bull,1,1,1,strong,weak,neutral,1,LONG,EMA100_RSI7_SK21SS5SD5_ATR7,49,38,0.7755,1.3265,5.0,0.8,1.4
bull,1,1,1,strong,weak,neutral,1,LONG,EMA200_RSI7_SK21SS5SD5_ATR7,49,38,0.7755,1.3265,7.0,0.7143,1.1429
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA100_RSI14_SK5SS3SD3_ATR21,31,24,0.7742,1.3226,4.0,1.0,2.0
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA21_RSI14_SK14SS3SD3_ATR7,22,17,0.7727,1.3182,4.0,0.75,1.25
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA100_RSI14_SK21SS5SD5_ATR21,22,17,0.7727,1.3182,10.0,0.7,1.1
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA50_RSI14_SK5SS3SD3_ATR7,22,17,0.7727,1.3182,4.0,1.0,2.0
bull,1,1,1,overbought,strong,expansion,1,LONG,EMA100_RSI14_SK5SS3SD3_ATR7,22,17,0.7727,1.3182,3.0,1.0,2.0
bull,-1,-1,0,weak,strong,expansion,-1,SHORT,EMA21_RSI21_SK14SS3SD3_ATR7,22,17,0.7727,1.3182,10.0,0.5,0.5
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA21_RSI14_SK5SS3SD3_ATR21,35,27,0.7714,1.3143,6.0,0.8333,1.5
bear,-1,-1,1,strong,weak,neutral,1,LONG,EMA100_RSI21_SK21SS5SD5_ATR14,26,20,0.7692,1.3077,7.0,0.5714,0.7143
bull,1,1,1,overbought,strong,neutral,1,LONG,EMA50_RSI14_SK5SS3SD3_ATR14,26,20,0.7692,1.3077,3.0,1.0,2.0
bear,-1,-1,-1,weak,strong,neutral,-1,SHORT,EMA50_RSI7_SK21SS5SD5_ATR7,26,20,0.7692,1.3077,6.0,0.6667,1.0
